"state_abbr","state_fips","place_fips","stpl_fips","city_name","metric_name","group_name","metric_number","group_number","num","denom","est","lci","uci","county_indicator","educ_indicator","multiplier_indicator","data_yr_type","geo_level","date_export","version","NOTE - NCHS Disclaimer","Suggested Citation"
NY,36,65508,3665508,Schenectady,Children in Poverty,hispanic,4,6,1067,2249,47.4,36.5,58.3,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,73000,3673000,Syracuse,Children in Poverty,hispanic,4,6,2155,4537,47.5,42.5,52.5,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,76540,3676540,Utica,Children in Poverty,hispanic,4,6,1380,2935,47,40.7,53.4,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,81677,3681677,White Plains,Children in Poverty,hispanic,4,6,1435,4656,30.8,23.4,38.3,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,84000,3684000,Yonkers,Children in Poverty,hispanic,4,6,5622,21321,26.4,22.8,29.9,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,01000,3601000,Albany,Children in Poverty,white,4,7,314,4034,7.8,3.1,12.5,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,11000,3611000,Buffalo,Children in Poverty,white,4,7,3855,14253,27,23.2,30.9,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,33139,3633139,Hempstead,Children in Poverty,white,4,7,32,315,10.2,3.4,16.9,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,49121,3649121,Mount Vernon,Children in Poverty,white,4,7,129,1140,11.3,4.2,18.4,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,50617,3650617,New Rochelle,Children in Poverty,white,4,7,49,5703,0.9,0,1.8,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,51000,3651000,New York,Children in Poverty,white,4,7,73364,455367,16.1,15.6,16.6,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,63000,3663000,Rochester,Children in Poverty,white,4,7,1748,6606,26.5,22.2,30.8,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,65508,3665508,Schenectady,Children in Poverty,white,4,7,531,4144,12.8,7.1,18.5,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,73000,3673000,Syracuse,Children in Poverty,white,4,7,2892,7801,37.1,32.3,41.9,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,76540,3676540,Utica,Children in Poverty,white,4,7,1438,4876,29.5,24.7,34.3,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,81677,3681677,White Plains,Children in Poverty,white,4,7,123,4137,3,0.9,5,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,84000,3684000,Yonkers,Children in Poverty,white,4,7,808,9818,8.2,5.7,10.8,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,01000,3601000,Albany,Children in Poverty,other,4,8,1615,3438,47,33.6,60.3,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,11000,3611000,Buffalo,Children in Poverty,other,4,8,5469,9982,54.8,50.1,59.4,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,33139,3633139,Hempstead,Children in Poverty,other,4,8,2147,6964,30.8,25.4,36.3,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,49121,3649121,Mount Vernon,Children in Poverty,other,4,8,585,2930,20,11.8,28.1,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,50617,3650617,New Rochelle,Children in Poverty,other,4,8,709,4000,17.7,11.1,24.3,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,51000,3651000,New York,Children in Poverty,other,4,8,140092,428273,32.7,32.1,33.4,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,63000,3663000,Rochester,Children in Poverty,other,4,8,3369,6729,50.1,45.2,55,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,65508,3665508,Schenectady,Children in Poverty,other,4,8,1402,3617,38.8,29.2,48.3,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
NY,36,73000,3673000,Syracuse,Children in Poverty,other,4,8,2229,4875,45.7,39.4,52,0,-999,-999,"2019, 5 Year Estimate",city,2021-07-15,12.2,,
